path,file_mtime,model,task,market,strategy,gate,retrain,features,crosslag_mode,crosslag_gap,horizon,stride,test_start,test_end,n_hours,mae,rmse,smape
runs/p4_out/ablation_direct_xgb_q1/xgb_price_dam_direct_lags-calendar.json,2026-07-04 11:01,xgb_price_dam_direct_lags-calendar,price,dam,direct,strict,static,calendar+lags,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,19.9143,28.1081,29.133
runs/p4_out/ensemble_crossstrategy_direct_recursive.json,2026-07-04 11:04,LGBM-recursive-dam,price,dam,ensemble,strict,static,,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,16.0963,23.4151,24.903
runs/p4_out/lgbm_direct_default_monthly_q1.json,2026-07-04 10:31,LGBM-direct-dam,price,dam,direct,strict,monthly,calendar+lags+roll+resfc+loadfc+meteo+fuel+genlags+loadlags+other,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,19.5891,27.449,27.5102
runs/p5_out/lgbm_ss_linear_default_monthly_q1.json,2026-07-04 07:48,LGBM-recursive-dam,price,dam,recursive,strict,monthly,calendar+lags+roll+resfc+loadfc+meteo+fuel+genlags+loadlags+other,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,15.5517,22.6956,24.7262
runs/p6_out/lgbm_weekly_default_march2026.json,2026-07-04 11:12,LGBM-recursive-dam,price,dam,recursive,strict,weekly,calendar+lags+roll+resfc+loadfc+meteo+fuel+genlags+loadlags+other,,,24,24,2026-03-01T00:00:00,2026-03-19T23:00:00,456,17.6659,24.4122,51.0194
runs/p6_out/lgbm_weekly_default_seed43.json,2026-07-04 11:09,LGBM-recursive-dam,price,dam,recursive,strict,weekly,calendar+lags+roll+resfc+loadfc+meteo+fuel+genlags+loadlags+other,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,15.4291,22.5172,24.3218
runs/p6_out/lgbm_weekly_default_seed44.json,2026-07-04 11:11,LGBM-recursive-dam,price,dam,recursive,strict,weekly,calendar+lags+roll+resfc+loadfc+meteo+fuel+genlags+loadlags+other,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,15.2182,22.2908,24.2225
runs/preflight_out/lgbm_default_static_q1.json,2026-07-04 06:44,LGBM-recursive-dam,price,dam,recursive,strict,static,calendar+lags+roll+resfc+loadfc+meteo+fuel+genlags+loadlags+other,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,16.0963,23.4151,24.903
runs/qa_smoke/direct_smoke_base.json,2026-07-08 22:30,LGBM-direct-dam,price,dam,direct,strict,static,calendar+lags+dense+roll+resfc+loadfc+meteo+fuel+genlags+loadlags+other,freeze,12,24,24,2026-02-01T00:00:00,2026-02-07T23:00:00,168,16.8414,23.5252,21.4831
runs/qa_smoke/direct_smoke_rerun.json,2026-07-08 22:32,LGBM-direct-dam,price,dam,direct,strict,static,calendar+lags+dense+roll+resfc+loadfc+meteo+fuel+genlags+loadlags+other,freeze,12,24,24,2026-02-01T00:00:00,2026-02-07T23:00:00,168,16.8414,23.5252,21.4831
"runs/rampfulltime/s2023_lgbm_recursive_default,dense,ramp.json",2026-07-09 20:29,LGBM-recursive-dam,price,dam,recursive,strict,static,calendar+lags+dense+roll+resfc+loadfc+ramp+meteo+fuel+genlags+loadlags+other,freeze,12,24,24,2023-06-01T00:00:00,2023-08-31T23:00:00,2208,17.1509,24.4114,19.856
"runs/rampfulltime/s2023_lgbm_recursive_default,dense.json",2026-07-09 20:28,LGBM-recursive-dam,price,dam,recursive,strict,static,calendar+lags+dense+roll+resfc+loadfc+meteo+fuel+genlags+loadlags+other,freeze,12,24,24,2023-06-01T00:00:00,2023-08-31T23:00:00,2208,17.0296,24.3803,20.0615
"runs/rampfulltime/s2023_xgb_recursive_default,dense,ramp.json",2026-07-09 20:33,XGB-recursive-dam,price,dam,recursive,strict,static,calendar+lags+dense+roll+resfc+loadfc+ramp+meteo+fuel+genlags+loadlags+other,freeze,12,24,24,2023-06-01T00:00:00,2023-08-31T23:00:00,2208,17.3981,24.7523,20.0936
"runs/rampfulltime/s2023_xgb_recursive_default,dense.json",2026-07-09 20:31,XGB-recursive-dam,price,dam,recursive,strict,static,calendar+lags+dense+roll+resfc+loadfc+meteo+fuel+genlags+loadlags+other,freeze,12,24,24,2023-06-01T00:00:00,2023-08-31T23:00:00,2208,17.6143,24.7491,20.1551
"runs/rampfulltime/s2024_lgbm_recursive_default,dense,ramp.json",2026-07-09 20:39,LGBM-recursive-dam,price,dam,recursive,strict,static,calendar+lags+dense+roll+resfc+loadfc+ramp+meteo+fuel+genlags+loadlags+other,freeze,12,24,24,2024-06-01T00:00:00,2024-08-31T23:00:00,2208,25.8597,47.114,23.2983
"runs/rampfulltime/s2024_lgbm_recursive_default,dense.json",2026-07-09 20:38,LGBM-recursive-dam,price,dam,recursive,strict,static,calendar+lags+dense+roll+resfc+loadfc+meteo+fuel+genlags+loadlags+other,freeze,12,24,24,2024-06-01T00:00:00,2024-08-31T23:00:00,2208,26.1808,47.8078,23.4933
"runs/rampfulltime/s2024_xgb_recursive_default,dense,ramp.json",2026-07-09 20:42,XGB-recursive-dam,price,dam,recursive,strict,static,calendar+lags+dense+roll+resfc+loadfc+ramp+meteo+fuel+genlags+loadlags+other,freeze,12,24,24,2024-06-01T00:00:00,2024-08-31T23:00:00,2208,25.9547,46.8887,23.2599
"runs/rampfulltime/s2024_xgb_recursive_default,dense.json",2026-07-09 20:40,XGB-recursive-dam,price,dam,recursive,strict,static,calendar+lags+dense+roll+resfc+loadfc+meteo+fuel+genlags+loadlags+other,freeze,12,24,24,2024-06-01T00:00:00,2024-08-31T23:00:00,2208,26.5748,48.1824,23.719
"runs/rampfulltime/s2025_lgbm_recursive_default,dense,ramp.json",2026-07-09 20:48,LGBM-recursive-dam,price,dam,recursive,strict,static,calendar+lags+dense+roll+resfc+loadfc+ramp+meteo+fuel+genlags+loadlags+other,freeze,12,24,24,2025-06-01T00:00:00,2025-08-31T23:00:00,2208,13.7808,20.3773,37.362
"runs/rampfulltime/s2025_lgbm_recursive_default,dense.json",2026-07-09 20:47,LGBM-recursive-dam,price,dam,recursive,strict,static,calendar+lags+dense+roll+resfc+loadfc+meteo+fuel+genlags+loadlags+other,freeze,12,24,24,2025-06-01T00:00:00,2025-08-31T23:00:00,2208,14.1656,20.88,37.1501
"runs/rampfulltime/s2025_xgb_recursive_default,dense,ramp.json",2026-07-09 20:51,XGB-recursive-dam,price,dam,recursive,strict,static,calendar+lags+dense+roll+resfc+loadfc+ramp+meteo+fuel+genlags+loadlags+other,freeze,12,24,24,2025-06-01T00:00:00,2025-08-31T23:00:00,2208,14.7385,21.4238,37.8311
