feature,category,CL — LightGBM,CL — RandomForest,CL — XGBoost,Direct — LGBM Dense,MIMO — RF (two-stage),MIMO — XGB Dense,OL — LGBM Daily-Opt,OL — XGB Dense+SS,avg
co2_lag3,CO₂ price lag,3.755419693329664e-05,0.007554309172884289,0.0007246788806662693,0.002234543010752688,0.0004277054134848346,0.002308403136464319,0.0013056559501958484,0.0012922133090810623,0.001985632883807826
w_larissa_cloud_cover,Other,0.000250202451927394,0.0003915136752248509,0.0009884358815062568,0.0074919354838709675,0.00036695878325359086,0.0016478425459573126,0.0029897629004484645,0.0012020949213594784,0.0019160933304435393
w_heraklion_relative_humidity_2m_missing,Other,0.0,0.00011004151145918552,0.0003098882869064737,1.3440860215053763e-06,6.703549509529293e-05,0.004921510722732285,0.0,0.009899639310177078,0.0019136824265489777
co2_lag6,CO₂ price lag,8.044946926122302e-05,0.004085631563828622,0.001321501963050966,0.003532258064516129,0.00045804892547478856,0.0023541755592076095,0.001967945200295192,0.0014635588636757524,0.001907946201163785
w_patras_cloud_cover,Other,0.0002172104248975723,0.00039024064338599544,0.0009564188756556248,0.007610887096774194,0.00043533581407718014,0.0014307499240397595,0.0032357560504853635,0.000971709448439621,0.001906038534719414
co2_lag2,CO₂ price lag,3.124911447342726e-05,0.006165413526237501,0.0013171948291918782,0.0019301075268817205,0.0004396918109908999,0.002286536628704932,0.0010028951501504344,0.0015009540288919846,0.0018342553269403473
w_heraklion_cloud_cover,Other,0.00031738198484255185,0.0003681610604151576,0.0010659209844723033,0.006543682795698925,0.00030250421888129345,0.0016363099496325255,0.0029329952504399495,0.0010130910238098881,0.0017725059085240743
w_heraklion_shortwave_radiation,Other,0.00023257561839677316,0.0006837737170710528,0.0017976706403903787,0.002544354838709677,0.000907328910796554,0.0019554933183429336,0.004427876700664182,0.0014508145282263853,0.0017499860340747422
w_thessaloniki_cloud_cover,Other,0.00021248492320744979,0.00034365130107284666,0.0008788225378551994,0.006284274193548387,0.00036184351038156545,0.0015913749823186576,0.0031411433004711717,0.0010732966088369317,0.0017358614197115264
w_thessaloniki_shortwave_radiation,Other,0.00020354393653937758,0.0005474837158572255,0.0016194070103074953,0.0019549731182795698,0.0007105319960093135,0.003209491230512442,0.002762692300414404,0.001433265615681928,0.0015551736154502196
w_athens_cloud_cover,Other,0.00018752964860998072,0.00030386478466067085,0.0009030302878973703,0.005404569892473118,0.0002736089179143966,0.0013460615067455506,0.002762692300414404,0.0009030810978530589,0.0015105548045710687
w_athens_shortwave_radiation,Other,0.00018932629430040314,0.0005115242981641627,0.0015689732178907302,0.0018951612903225807,0.0005707784152254612,0.0024448881661262773,0.0032546786004882017,0.001246845672802751,0.0014602719944150709
load_fc,Load / Load-FC,2.374999333649856e-05,0.001465331962494658,0.0010034155058693097,0.0012540322580645161,0.00042538058128359027,0.002136798590446612,0.0022517834503377673,0.001032064394335386,0.0011990695920210423
w_heraklion_precipitation_missing,Other,0.0,0.00024841595675513414,0.0,0.0,4.583895678136757e-05,0.00033425713594586245,0.0,0.008499713298851174,0.0011410281685416922
w_heraklion_temperature_2m_missing,Other,0.0,0.000103393545009652,0.0023357375740448508,6.720430107526881e-07,7.167197299671197e-05,0.003491315033839253,0.0,0.002257582196558165,0.0010325465456824231
solar_fc_dayahead_missing,Other,1.6937695781495266e-05,0.0002484406454791137,0.00038358372209277853,0.0001827956989247312,7.296154558408271e-05,0.0022884959249091633,0.000643366700096505,0.004317332837488583,0.0010192393462945565
w_gr_mean_precipitation,Other,0.00013277229824465984,0.00021863670089335052,0.0011945429119480664,0.002584005376344086,0.00010091400217717314,0.0011675442990854658,0.0012110432001816564,0.0010803797831911678,0.0009612298215082032
w_heraklion_cloud_cover_missing,Other,0.0,0.00011495978690388219,0.0,0.0,6.192962512371115e-05,0.0008979208285288014,0.0,0.005344028971699767,0.0008023549015320202
w_athens_temperature_2m_missing,Other,0.0,6.0481991610470316e-05,0.0,6.720430107526881e-07,2.6077458492213025e-05,0.0025623740385810477,0.0,0.003308418679313032,0.0007447530263759394
is_holiday,Calendar / Time,1.1074854630010355e-05,1.935503952102515e-05,0.0012679320584381372,0.001165994623655914,6.015044967347377e-06,0.0024895752003385443,0.0003216833500482525,0.0004883376303835595,0.0007212459752478489
w_patras_precipitation,Other,4.802885552743336e-05,0.00014957977467440557,0.0011489783065357392,0.0013024193548387096,5.336558593029798e-05,0.001405959827427529,0.0007379794501106969,0.0005179625961740362,0.000670534218902356
w_larissa_precipitation,Other,2.148502345122351e-05,6.448553393708385e-05,0.001432864621446971,0.000985215053763441,1.576383299850229e-05,0.00185378095529325,7.569020001135352e-05,0.0005453016305395608,0.0006243233564301732
w_thessaloniki_precipitation,Other,1.7504809603416023e-05,6.694505582292212e-05,0.0008602003364640932,0.0010201612903225805,3.70714037403374e-05,0.0017709151774731409,0.00011353530001703029,0.0006739453435035245,0.0005700348396183807
w_heraklion_wind_speed_10m_missing,Other,0.0,0.00018041220401913052,0.0,0.0,6.414119510968456e-05,3.0055595472253615e-05,0.0,0.003844783454194654,0.0005149240560994653
w_athens_precipitation,Other,8.581287480181034e-06,4.655225674485255e-05,0.0009392284662352446,0.0005551075268817204,1.778720447349578e-05,0.0015614425918469889,7.569020001135352e-05,0.000692098742650348,0.00048706103454052317
w_athens_relative_humidity_2m_missing,Other,0.0,7.168301645593844e-05,0.0,0.0,3.018310898754659e-05,0.000558174287045557,0.0,0.003088198360200669,0.00046852984658621386
w_heraklion_precipitation,Other,1.0348941410826396e-05,5.6660773051815056e-05,0.0009113042154393995,0.0008333333333333333,2.4835633227663568e-05,0.001272570885018233,1.892255000283838e-05,0.000535233625325167,0.0004579012446011595
wind_onshore_fc_dayahead_missing,Other,5.246445023505866e-07,0.00024900054287495493,0.0005803132951089499,6.78763440860215e-05,3.3522572249342624e-06,0.0006619284153363081,0.0,0.0,0.00019537443739168993
load_pred_h09,Other,0.0,0.0,0.0,0.0,0.0013263246702094958,0.0,0.0,0.0,0.00016579058377618697
gen_fc_dayahead_missing,Other,0.0,3.0271641047216473e-06,0.0003882226104984614,0.00013172043010752687,1.0321114396998694e-06,0.0007263514811680392,0.0,0.0,0.00015629422466480612
