feature,category,CL — LightGBM,CL — RandomForest,CL — XGBoost,Direct — LGBM Dense,MIMO — RF,MIMO — XGB Dense,OL — LGBM-SS Daily,avg
w_thessaloniki_shortwave_radiation,Other,3.659344495402163e-05,0.0006189838273402884,0.00030124222096506023,0.0019569892473118283,0.0001675416745408793,0.0005365411140440794,0.004207507698093693,0.0011179141753214074
w_gr_mean_precipitation,Other,1.2904321994366643e-05,5.973084435719685e-05,0.00013356172745400223,0.002518817204301075,9.099913160064358e-05,0.0007164581345793538,0.002280046071034013,0.0008303596336172359
w_athens_precipitation,Other,8.405633986900135e-06,2.1666436942821892e-05,0.00030042126020296154,0.0011001344086021506,1.1451326343309907e-05,0.0011447626948707088,0.000861873085270589,0.0004926735494599203
w_larissa_precipitation,Other,2.6656318456762903e-06,1.7490213946295576e-05,0.00011387242799801711,0.0010813172043010754,2.187443435346796e-05,0.0009793449480187703,0.0007051688879486638,0.00041739053548742373
w_patras_precipitation,Other,2.4114616942608394e-06,2.1311246716278483e-05,9.263796269188445e-05,0.0012076612903225807,1.1902984006579746e-05,0.0005351236841341183,0.0006189815794216048,0.00035571860128390107
w_thessaloniki_precipitation,Other,2.3188853828986004e-06,1.5407363961094725e-05,9.236790100187792e-05,0.0012043010752688175,8.154989635458261e-06,0.0006595899155844335,0.0004701125919657758,0.00035032181754290806
w_heraklion_precipitation,Other,2.2828414045587608e-06,2.490761305310459e-05,0.00011765989095096183,0.0011250000000000001,8.855293942243539e-06,0.0004926476991783614,0.0006503224188859899,0.00034595367963074575
solar_fc_dayahead_missing,Other,6.885915473371068e-07,0.00018898879359522736,0.0002081114577164459,0.00015524193548387098,2.0141044405399455e-05,0.0006563903047331457,0.00026639713544727295,0.00021370846613267134
w_heraklion_temperature_2m_missing,Other,0.0,1.0169151566944861e-05,0.00043173694343639433,4.704301075268818e-06,1.9274808703121537e-06,0.0006591943890713316,3.134083946438505e-05,0.00016272472935494812
wind_onshore_fc_dayahead_missing,Other,3.284666707187875e-06,1.4881921380382196e-05,0.00010227926034015215,0.00035080645161290327,1.659990744641419e-05,0.00046181577844521944,0.00010969293812534769,0.00015133727486537238
gen_fc_dayahead_missing,Other,1.1222250331603536e-06,8.134973456722102e-06,0.00040304377108296734,6.720430107526883e-05,2.1113927863746106e-06,0.00041846776269294537,2.350562959828879e-05,0.00013194143653224677
w_heraklion_relative_humidity_2m_missing,Other,0.0,1.0617443532318288e-05,7.459017730651368e-05,0.0,1.8510710846160613e-06,0.0006710000935430767,1.5670419732192525e-05,0.00011053274359981674
w_patras_temperature_2m_missing,Other,0.0,1.2739518391404894e-05,0.0,3.3602150537634413e-06,2.9318468989890856e-06,0.0004061848026951608,1.5670419732192525e-05,6.298382896735868e-05
w_patras_relative_humidity_2m_missing,Other,0.0,1.3750694956112069e-05,0.0,0.0,2.868757304492393e-06,0.000325674750339969,4.701125919657758e-05,5.5615065971021576e-05
